index,title,authour
0,"500 Social Media Marketing Tips: Essential Advice, Hints and Strategy for Business: Facebook, Twitter, Instagram, Pinterest, LinkedIn, YouTube, Snapchat, and More!",Andrew Macarthy
1,"The Power of Visual Storytelling: How to Use Visuals, Videos, and Social Media to Market Your Brand","Ekaterina Walter, Jessica Gioglio"
2,"Social Media Strategy: Marketing, Advertising, and Public Relations in the Consumer Revolution",Keith Quesenberry
3,"Social Media Marketing Mastery (2 Manuscripts in 1): The Ultimate Practical Guide to Marketing, Advertising, Growing Your Business and Becoming an Influencer ... with Facebook, Instagram, Youtube and More",Clyne Gary
4,"Storytelling: Manipulation of the Audience - How to Learn to Skyrocket Your Personal Brand and Online Business Using the Power of Social Media Marketing, Including Instagram, Facebook and YouTube",Daniel Anderson
5,"SOCIAL MEDIA MARKETING AND ONLINE BUSINESS 2021: Beyond 2020! Rise to the top of the Main eCommerce Platforms Using the Most Unscrupulous and Winning Tactics of Instagram, YouTube & Facebook.",ALLAN KANE
6,"Social Media Marketing 2021-22: Beginner's Guide to Making Money Online. Become a Successful Influencer Through Youtube, Twitter, Facebook, Instagram and Linkedin Algorithms. Start Your Passive Income",Digital Business Academy [Digital Business Academy]
7,"Content Rules: How to Create Killer Blogs, Podcasts, Videos, Ebooks, Webinars (and More) That Engage Customers and Ignite Your Business (New Rules Social Media Series) (Scanned PDF)","Ann Handley, C.C. Chapman"
8,"The B2B social media book: become a marketing superstar by generating leads with blogging, LinkedIn, Twitter, Facebook, email, and more","Kipp Bodnar, Jeffrey L. Cohen"
9,Social Media Marketing All-in-One For Dummies,"Jan Zimmerman, Deborah Ng"
10,Ten Arguments For Deleting Your Social Media Accounts Right Now,Jaron Lanier
11,Digital And Social Media Marketing: Emerging Applications And Theoretical Development,"Nripendra P. Rana, Emma L. Slade, Ganesh Prasad Sahu, Hatice Kizgin, Nitish Singh, Bidit Dey, Anabel Gutierrez, Yogesh K. Dwivedi"
12,"Mind Wars: A History of Mind Control, Surveillance, and Social Engineering by the Government, Media, and Secret Societies","Marie D. Jones, Larry Flaxman"
13,"Mining the Social Web: Data Mining Facebook, Twitter, LinkedIn, Instagram, GitHub, and More","Russell, Matthew A., Klassen, Mikhail"
14,"Social Media: Become a Social Media Marketing Master: How to Easily Start Marketing on Facebook, Twitter, Instagram, YouTube & More","Jenkins, Alex"
15,"Social media marketing workbook 2019: how to leverage the power of Facebook advertising, Instagram marketing, YouTube and SEO to explode your business and personal brand","Schaffner, Adam"
16,"Social Media Marketing, 3 books in one: Excellent Tricks to Grow your business,Instagram Marketing to become a famous influencer,Tiktok and You Tube to make Viral Videos","Miller, Dave"
17,Social Media Marketing For Dummies,"Shiv Singh, Stephanie Diamond"
18,"Computational Propaganda: Political Parties, Politicians, and Political Manipulation on Social Media","Samuel  C .  Woolley, Philip N. Howard"
19,"500 social media marketing tips : essential advice, hints and strategy for business : Facebook, Twitter, Pinterest, Google+, YouTube, Instagram, Linkedin, and more!",Andrew Macarthy
20,"Seven Layers of Social Media Analytics: Mining Business Insights from Social Media Text, Actions, Networks, Hyperlinks, Apps, Search Engine, and Location Data",Gohar F. Khan
21,Social Media,Grant Kennedy
22,The SAGE Handbook of Social Media Research Methods,"Luke Sloan, Anabel Quan-Haase"
23,"#AskGaryVee: One Entrepreneur's Take on Leadership, Social Media, and Self-Awareness",Gary Vaynerchuk
24,Social Media Data Mining and Analytics,"Gabor Szabo, Gungor Polatkan, P. Oscar Boykin, Antonios Chalkiopoulos"
25,"Social Media Marketing 2021: 4 BOOKS IN 1 - Social Media for Beginners, Instagram Marketing to Become an Influencer, Facebook Advertising, Google AdWords ","Preace, Jeremy"
26,"Praxiswissen Online-Marketing: Affiliate-, Influencer-, Content- und E-Mail-Marketing, Google Ads, SEO, Social Media, Online- inklusive Facebook-Werbung","Lammenett, Erwin"
27,"FACEBOOK MARKETING 2021: Hit With Advertising Strategies to Estimate Your Small Business on Top,use This Move by Step Beginner’s Guide for Passive Income on Social Media to Make Money Online Fromhome","Jack Mathew [Mathew, Jack]"
28,"Social Security 101: From Medicare To Spousal Benefits, An Essential Primer On Government Retirement Aid (adams 101)","Mill, Alfred"
29,The Art of Social Media: Power Tips for Power Users,"Guy Kawasaki, Peg Fitzpatrick"
30,Influencer: Building your personal brand in the age of social media,"Hennessy, Brittany"
31,Social Media Success for Every Brand: The Five StoryBrand Pillars That Turn Posts Into Profits,Claire Diaz-Ortiz
32,"No B.S. Guide to Direct Response Social Media Marketing: The Ultimate No Holds Barred Guide to Producing Measurable, Monetizable Results with Social Media Marketing","Dan S. Kennedy, Kim Walsh-Phillips"
33,Leave Your Mark: Land Your Dream Job. Kill It in Your Career. Rock Social Media.,Aliza Licht
34,"Media, Society, World: Social Theory and Digital Media Practice",Nick Couldry
35,"INSTAGRAM MARKETING 2021: Success in your business with the power of promotion, grow a top influencer with the secrets of this beginner’s guide for growth in social media marketing","Mathew, Jack [Mathew, Jack]"
36,Introduction to Mass Communication: Media Literacy and Culture,Stanley Baran
37,"Python Social Media Analytics: Analyze and visualize data from Twitter, Youtube, GitHub, and more","Siddhartha Chatterjee, Michal Krystyanczuk"
38,"The New Rules of Marketing & PR: How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly",David Meerman Scott
39,Social Media Marketing Workbook 2022,Jason McDonald
40,Philosophy Of Media: A short History Of Ideas And Innovations From Socrates To Social Media,"Hassan, Robert, Sutherland, Thomas"
41,Social Media Marketing All-in-One For Dummies,"Michelle Krasniak, Jan Zimmerman, Deborah Ng"
42,Dynamic Digital Marketing: Master the World of Online and Social Media Marketing to Grow Your Business,Dawn McGruer
43,Social Media for Strategic Communication: Creative Strategies and Research-Based Applications,Karen J Freberg
44,Influence and Behavior Analysis in Social Networks and Social Media,"Mehmet Kaya, Reda Alhajj"
45,"Professione social media manager. Strategie, tattiche e strumenti per i professionisti del social media marketing",Veronica Gentili
46,"50 digital team building games : fast, fun meeting openers, group activities and adventures using social media, smart phones, GPS, tablets, and more","Chen, John"
47,Social Media Made Simple: Social Media Marketing Tips for Small Business: A Quick Guide to Boosting Your Brand With 101 Free Content Ideas,"The Sitters Australia & Siân Evans & Justine Day [Australia, The Sitters & Evans, Siân & Day, Justine]"
48,Social Media and Crisis Communication,"Lucinda L Austin, Yan Jin"
49,LikeWar: The Weaponization of Social Media,"P.W. Singer, Emerson T. Brooking"
